utterance,topic_id,topic_label,is_new_topic
ask an agent how i can solve a payment problem,7,Payment & Account Issues,False
"i want to know the statua of my reimbursement, track ot",4,Refund & Reimbursement Policy,False
how can I check the cancellation penalties?,49,Cancellation Penalties,True
"I don't understand you, how do I talk to someone?",44,Requesting Human Agent Transfer,True
could u ask an agent how to retrieve my password ?,12,Password Recovery & Account Access,False
"I don't understand you, how do I talk to a human agent?",24,Customer Support & Communication,False
"my account has been hacked, how do i recover it?",33,Email & Contact Information,False
"I got an error when I tried to pay, but I was charged anyway, what can I do to report it?",41,Profile Deletion Request,False
"I changed my mind, I need help deleting my online account",42,Account Cancellation,False
"I have an issue making a payment, I need help reporting it",1,Payment Problems & Reporting,False
"i have a problem making a payment with card, help me inform of it",16,Card Payment Issues,False
"I bought an item, what can I do to change my orderr?",5,Order Modifications & Changes,False
help me delete my user account,8,Account Deletion & Cancellation,False
I need help checking my shipments,0,Package Tracking & Delivery Status,False
i want to solve an issue makinng a payment,1,Payment Problems & Reporting,False
"I lost my bills, what do I have to do to view them?",40,Missing Bill Access & Viewing,False
"I've got no profile, how can I create one?",2,Account Creation Problems,False
tell me if there is a free number to contact Customer Service,20,Customer Support & Contact,False
"I wanna see a bill, tell me how to do it",6,Missing or Lost Bills,False
"i wanna see some bills, tell me how I can do it",6,Missing or Lost Bills,False
i made a mistake nad i wanna change my purchase,50,Order Modification and Cancellation,True
"i purchased something, I need help changing my ordere",5,Order Modifications & Changes,False
"I have a issue paying with card, how can I inform of it?",45,Card Payment Issues,True
"I got an error when I attempted to make a payment, but my card was charged anyway, what do I have to do to inform of it?",52,Payment Error & Accidental Charge,True
tell me how to get a bill,6,Missing or Lost Bills,False
"I got an error message when I attempted to make a payment, but my card was charged anyway, what do I have to do to report it?",-1,Outlier/Noise,False
"I can't understand you, contact someone",44,Requesting Human Agent Transfer,True
"I have an issue when trying to make a payment, I need help reporting it",1,Payment Problems & Reporting,False
I need help deleting my online account,8,Account Deletion & Cancellation,False
how can I report a problem making a payment?,1,Payment Problems & Reporting,False
"I'm not happy with the service, what should I do to file a consumer complaint?",18,Consumer Complaints and Dissatisfaction,False
I need help obtaining an invoice,3,Missing Invoices & Download Issues,False
"I don't understand you, how can I talk to a person?",44,Requesting Human Agent Transfer,True
how do I leave a review?,11,Customer Reviews and Feedback,False
"the show was cancelled, how do I get a reimbursement?",10,Event Cancellation and Refunds,False
I need help removing my user account,8,Account Deletion & Cancellation,False
"I have a problem when trying to pay, what should I do?",1,Payment Problems & Reporting,False
"can you tell me if i could change my order, please?",5,Order Modifications & Changes,False
"please, can you ask an agent to find information about their reimbursement policy?",4,Refund & Reimbursement Policy,False
"i boughtsomething, can I change my order?",5,Order Modifications & Changes,False
"you aren't helping , can I talk to a person?",9,Human Interaction Support,False
"i have a problem when trying to make a payment with card, help me notify it",16,Card Payment Issues,False
"ask an agent how I could solve payment issues, please",7,Payment & Account Issues,False
"I have a problem when trying to pay, notify it",1,Payment Problems & Reporting,False
"i purchased something, what should i do to modify my purchase?",5,Order Modifications & Changes,False
the event was postponed and I want to request a reimbursement,10,Event Cancellation and Refunds,False
can u sak an agent where i can notify fucking issues making a payment?,7,Payment & Account Issues,False
"i wanna use my other profile, i need help changing them",48,Profile Management & Editing,True
ask an agent if i can switch to another profile,17,Account Profile & Agent Changes,False
"i got an error when i attempted to pay, but i was charged anyway, could u inform of it, please?",41,Profile Deletion Request,False
"i have a question, what can i do to call client service?",20,Customer Support & Contact,False
how do I obtain a bill?,6,Missing or Lost Bills,False
can you tell me the number to contact Client Service?,20,Customer Support & Contact,False
how can I see the cancellation fee?,19,Cancellation Fees and Penalties,False
"I don't want my profile, how can I cancel it?",31,Compromised Account Recovery,False
"i lost my account password, help me reset it",12,Password Recovery & Account Access,False
where do I check my bills?,6,Missing or Lost Bills,False
"I want a user account, can you create one?",2,Account Creation Problems,False
"I wanna request an invoice, can you give me some information?",3,Missing Invoices & Download Issues,False
"i lost my invoices and i wanna see them, please",3,Missing Invoices & Download Issues,False
"you're not helping, talk to someone",9,Human Interaction Support,False
"I don't want my online account, help me remove it",8,Account Deletion & Cancellation,False
"my online account was hacked, what do I have to do?",33,Email & Contact Information,False
can I check the cancellation fees?,19,Cancellation Fees and Penalties,False
"I have no profile, can you help me?",2,Account Creation Problems,False
could u ask an agent where i can report issues making a payment?,7,Payment & Account Issues,False
"please, can u ask an agent if i can write an opinion?",11,Customer Reviews and Feedback,False
could you ask an agent for information abuot their money back guarantee?,37,Refund Requests & Policies,False
"I get an error message when I try to pay with card, what do I have to do?",34,Payment Error & Checkout Issues,False
"I need a profile, help me create one",2,Account Creation Problems,False
"I have an issue paying, what can I do to notgify it?",1,Payment Problems & Reporting,False
"I got an error when I atetmpted to make a payment, but my card was chargedanyway and I want to report it",-1,Outlier/Noise,False
how to remove my online account,8,Account Deletion & Cancellation,False
ask an agent how to inform of an issue making a payment,7,Payment & Account Issues,False
"I want to know where I can check my shipments, please",0,Package Tracking & Delivery Status,False
"I got an error message when I attempted to make a payment, but my card was charged anyway, what can I do to report it?",-1,Outlier/Noise,False
can I have several online accounts?,13,Account Creation & Management,False
"i want to report an issue making a payment, what should i do?",1,Payment Problems & Reporting,False
"the game was postponed, what do I have to do to request a refund?",10,Event Cancellation and Refunds,False
tell me if I can own more than one account,13,Account Creation & Management,False
where can I open an online account?,2,Account Creation Problems,False
where do I check my orders?,0,Package Tracking & Delivery Status,False
i'd like to make a modificatin in my purchase,5,Order Modifications & Changes,False
ask an agent if i could track my fucking packages,29,Customer Service Contact Information,False
ask an agent if i can notify a problem majing a payment,7,Payment & Account Issues,False
"I have a problem paying with card, can I inform of it?",45,Card Payment Issues,True
"I don't understand you, what should I do to talk to a person?",44,Requesting Human Agent Transfer,True
"my online account was hacked, what should I do to recover it?",33,Email & Contact Information,False
can u ask an agent if my order is out for delivery?,29,Customer Service Contact Information,False
where do I open an online account?,2,Account Creation Problems,False
can you send an email to Client Service?,20,Customer Support & Contact,False
I want to know if my orders are out for delivery,0,Package Tracking & Delivery Status,False
where do i obtain a refund?,39,Refund Policy Information,False
"I want to modify my purchase, can you tell me where to do it?",5,Order Modifications & Changes,False
"i have a problem when trying to pay, inform of it",1,Payment Problems & Reporting,False
"the concert was postponed, can I get a refund?",10,Event Cancellation and Refunds,False
"i want to see some fucking bills, can you tell me how I can do it?",6,Missing or Lost Bills,False
I want to report a payment issue,1,Payment Problems & Reporting,False
"i wanna know the status of my reimbursement, what can i do?",4,Refund & Reimbursement Policy,False
can u ask an agent how to report problems paying?,7,Payment & Account Issues,False
tell me if I can check my shipment,0,Package Tracking & Delivery Status,False
"I got an error when I tried to pay, but I was charged anyway, can you report it?",41,Profile Deletion Request,False
tell me how I can track my orders,-1,Outlier/Noise,False
how do I obtain a reimbursement?,51,Reimbursement Requests,True
i cant remember my password and i wanna recover it,12,Password Recovery & Account Access,False
i can't find my bill and i want to see it,40,Missing Bill Access & Viewing,False
"someone stole my password, recover it",12,Password Recovery & Account Access,False
I need help switching to another account,38,Account Switching and Preferences,False
"I can't find my bills, can you show them?",40,Missing Bill Access & Viewing,False
"I have an issue when trying yo pay, help me inform of it",1,Payment Problems & Reporting,False
"I've got no account, how do I open one?",2,Account Creation Problems,False
"please, could u ask an agent how to get a reimbursement?",4,Refund & Reimbursement Policy,False
where can I see my bills?,6,Missing or Lost Bills,False
"id like information, could u send an email to fucking customer service?",14,Customer Support Contact Info,False
"I want to track my reimbursement, what can I do?",4,Refund & Reimbursement Policy,False
"I'm not happy with the service, how do I lodge a consumer complaint?",18,Consumer Complaints and Dissatisfaction,False
"I want to edit my shipping address, can you help me?",32,Shipping Address Management,False
"I have an issue making a payment with card, what can I do to report it?",16,Card Payment Issues,False
can u ask an agent if i can leave a comment?,11,Customer Reviews and Feedback,False
"ive got no user account, what do i have to do?",2,Account Creation Problems,False
"I would like to lodge an opinion for a service, can you help me?",11,Customer Reviews and Feedback,False
"i have a problem when trying to pay, can i report it?",1,Payment Problems & Reporting,False
"i want to view the fucking ticket delivery options, what should i do, please?",-1,Outlier/Noise,False
where can I receive the newsletter?,28,Newsletter Subscriptions & Updates,False
ask an agent if i can solve payment issues,7,Payment & Account Issues,False
can you tell me the ermail address to contact Customer Support?,14,Customer Support Contact Info,False
"I have no account, what can I do?",2,Account Creation Problems,False
can you tell me how I can get some invoices?,3,Missing Invoices & Download Issues,False
where do I notify problems with my payment?,1,Payment Problems & Reporting,False
"i wanna submit a comment, what can i do ?",11,Customer Reviews and Feedback,False
can I pay with Master Card?,7,Payment & Account Issues,False
can i file a ocmplaint for a service?,11,Customer Reviews and Feedback,False
i want to know if I can change my purchase,5,Order Modifications & Changes,False
"I want to check my package, can you tell me how to do it?",30,Payment Processing & Billing Errors,False
how do I notify issues making a payment?,1,Payment Problems & Reporting,False
"i want a profile, can u create one?",2,Account Creation Problems,False
"I want to view cancellation fees , what can I do?",19,Cancellation Fees and Penalties,False
tell me if theres a newsletter i can subscribe to,28,Newsletter Subscriptions & Updates,False
"I lost my password, what do I have to do to retrieve it?",12,Password Recovery & Account Access,False
"I don't like the service, make a complaint",18,Consumer Complaints and Dissatisfaction,False
"an error pops when I attempt to pay for my online order, what should I do?",36,Order Placement Errors,False
"I didn't receive my invoices, how can I check them?",3,Missing Invoices & Download Issues,False
"ask an agent how i could inform of a fucking issuepaying, please",7,Payment & Account Issues,False
I want to know if I can modify my order,5,Order Modifications & Changes,False
"I got an error message when I tried to pay, but my card was charged anyway, notify it",22,Payment & Billing Errors,False
"i want a user account, what can i do to open one?",2,Account Creation Problems,False
"I want to use my other online account, can I switch them?",38,Account Switching and Preferences,False
how can I edit the information on my profile?,48,Profile Management & Editing,True
"you're not helping, what do I have to do to talk to a person?",9,Human Interaction Support,False
"I need a refund, can you help me?",39,Refund Policy Information,False
can you tell me how long it takes for tickets to arrive?,-1,Outlier/Noise,False
"I want to maked an order, what can I do?",-1,Outlier/Noise,False
"i got an error when i tried to pay, but my card was charged anyway, what can i do to report it?",-1,Outlier/Noise,False
can u ask an agent if i can solve a problem with my payment?,7,Payment & Account Issues,False
"I have a problem when trying to make a payment, what should I do to notify it?",1,Payment Problems & Reporting,False
"I get an error when I try to pay for my online order, what do I have to do?",36,Order Placement Errors,False
"I've got no account, what can I do to open one?",2,Account Creation Problems,False
"i dont have a user account, what can i do?",2,Account Creation Problems,False
ask an agent how to report a problem paying,7,Payment & Account Issues,False
can you ask an agent where I could inform of a fucking problem paying?,7,Payment & Account Issues,False
I found issues while registering,2,Account Creation Problems,False
"i cant remember my password, recover it",12,Password Recovery & Account Access,False
"I'd like to modify my fucking order, could you tell me where I can do it?",5,Order Modifications & Changes,False
how do i check my invoices?,3,Missing Invoices & Download Issues,False
"I want to lodge a comment for a service, what can I do?",11,Customer Reviews and Feedback,False
"please , could u ask an agent where to report a payment problem?",7,Payment & Account Issues,False
can I modify my profile?,48,Profile Management & Editing,True
I want to know where to download an invoice,3,Missing Invoices & Download Issues,False
can u ask an agent where i can see the cancellation fee?,-1,Outlier/Noise,False
"I don't want my user account, can you close it?",8,Account Deletion & Cancellation,False
can I create two profiles with a single email address?,25,Multiple Account Management,False
"I'm discontent with the service, I need help making a complaint",18,Consumer Complaints and Dissatisfaction,False
tell me if I can register two accounts with the same email,13,Account Creation & Management,False
I want information about the cancellation penalties,49,Cancellation Penalties,True
how do I change my purchase?,5,Order Modifications & Changes,False
where can I notify an issue making a payment?,1,Payment Problems & Reporting,False
"I haven't got an online account, how can I register?",2,Account Creation Problems,False
i want information about the mail of the Client Service,20,Customer Support & Contact,False
"I didn't receive my invoices, help me check them",3,Missing Invoices & Download Issues,False
how to download a bill,21,Bill Downloading Help,False
how to track my order,-1,Outlier/Noise,False
"could u ask an agent if i could update my profile, pleaes?",17,Account Profile & Agent Changes,False
how do I check my order?,0,Package Tracking & Delivery Status,False
"I have a question, what can I do to contact Customer Support?",20,Customer Support & Contact,False
"the event was postponed, help me obtain a reimbursement",10,Event Cancellation and Refunds,False
I wanna know where to check my shipments,0,Package Tracking & Delivery Status,False
i changed my mind and i wanna cancel my online account,42,Account Cancellation,False
"I have a problem making a payment with card, can you report it?",16,Card Payment Issues,False
"i dont want my profile, how can i close it?",31,Compromised Account Recovery,False
"I have a problem when trying to pay for my online order, what can I do to notify it?",46,Online Payment Issues,True
"i forgot my password, how can i retrieve it?",12,Password Recovery & Account Access,False
where can I close my account?,8,Account Deletion & Cancellation,False
"I got an error when I tried to make a payment, but my card was charged anyway, I need help notifying it",52,Payment Error & Accidental Charge,True
id like to see the fucking mail address to contact Customer Support,14,Customer Support Contact Info,False
where can I delete my user accopunt ?,8,Account Deletion & Cancellation,False
"I want to check my orders, can you tell me how I can do it?",0,Package Tracking & Delivery Status,False
"I want a refund, how can I obtain one?",39,Refund Policy Information,False
"youre not helping, can u talk to a human?",9,Human Interaction Support,False
"im happy with the service, what can i do to make an opinion?",11,Customer Reviews and Feedback,False
"I lost my bills, can I view them?",40,Missing Bill Access & Viewing,False
how do I get a bill?,6,Missing or Lost Bills,False
"I have a problem paying for my online order, what should I do to notify ti?",46,Online Payment Issues,True
"you aren't helping, speak with a human agent",24,Customer Support & Communication,False
I had a problem creating a profile,2,Account Creation Problems,False
"I'm happy with the service, can you lodge a comment?",11,Customer Reviews and Feedback,False
"im interested in your money back policy, can you tell me about it?",37,Refund Requests & Policies,False
can you tell me if i can register more than one account with the same email address?,13,Account Creation & Management,False
I have an issue paying with card,45,Card Payment Issues,True
"I want a user avcount, can you help me?",2,Account Creation Problems,False
"I'm discontent with the service, how can I submit a complaint?",18,Consumer Complaints and Dissatisfaction,False
"I have a problem paying with card, what do I have to do to report it?",45,Card Payment Issues,True
help me write a comment for a service,11,Customer Reviews and Feedback,False
i want to see the email address to contact customer service,14,Customer Support Contact Info,False
how do I check the options for ticket delivery?,-1,Outlier/Noise,False
"I want to file a review for a service, what do I have to do?",11,Customer Reviews and Feedback,False
"could you give me information about your money back policy, please?",37,Refund Requests & Policies,False
help me check my order,0,Package Tracking & Delivery Status,False
"i got an error message when i tried to make a payment, but my card was charged anyway and id like to notify it, please",52,Payment Error & Accidental Charge,True
i want to know if i can register more than one profile with the same email address,25,Multiple Account Management,False
"i dont have a profile, can u create one?",2,Account Creation Problems,False
how do I track my delivery?,43,Delivery Tracking,True
"i got an error when i attempted to make a payment, but my card was charged anyway, what can i do to report ikt?",-1,Outlier/Noise,False
"youre not helping, what should i do to contact a human?",9,Human Interaction Support,False
"I am discontent with the service and I want to submit a consumer complaint, please",18,Consumer Complaints and Dissatisfaction,False
can you tell me the email to contact Customer Support?,14,Customer Support Contact Info,False
can u ask an agent to lodge a consumer complaint?,-1,Outlier/Noise,False
help me check the status of my reimbursement,4,Refund & Reimbursement Policy,False
"please, could you find information about the mail of hte Customer Service?",14,Customer Support Contact Info,False
i wanna see the fucking delivery period,43,Delivery Tracking,True
what's the delivery period for my tickets?,43,Delivery Tracking,True
"I have a problem making a payment, what can I do to notify it?",1,Payment Problems & Reporting,False
"can u ask an agent how to report an issue paying, please?",7,Payment & Account Issues,False
"I got an error when I attempted to pay, but I was charged anyway, can you notify it?",41,Profile Deletion Request,False
"please, ask an agent to inform of an issue making a payment",7,Payment & Account Issues,False
"I got an error when I tried to make a payment, but my card was charged anyway and I would like to report it",-1,Outlier/Noise,False
ask an agent where to check my orders,29,Customer Service Contact Information,False
"I have an issue when trying to make a payment with card, how can I notify it?",16,Card Payment Issues,False
how to report payment problems,1,Payment Problems & Reporting,False
"i have no user account and i wanna open one, please",2,Account Creation Problems,False
where do I view your refund policy?,39,Refund Policy Information,False
"I want to report a problem making a payment, what should I do?",1,Payment Problems & Reporting,False
"I wanna check ym orders, can you tell me where I can do it?",0,Package Tracking & Delivery Status,False
help me get some invoices,3,Missing Invoices & Download Issues,False
how to inform of an issue with my payment,1,Payment Problems & Reporting,False
i want to get some invoices,3,Missing Invoices & Download Issues,False
"i lost my password, could u recover it, please?",12,Password Recovery & Account Access,False
"I got an error when I tried to pay, but my card was charged anyway, can I report it?",-1,Outlier/Noise,False
"I don't have an online account, can you open one?",2,Account Creation Problems,False
can you tell me when my tickets are going to arrive?,-1,Outlier/Noise,False
"you're not helping, what can I do to contact a fucking human agent?",24,Customer Support & Communication,False
my online account's been hacked,33,Email & Contact Information,False
"I want an account, how can I open one?",2,Account Creation Problems,False
"i lost my password, can i recover it?",12,Password Recovery & Account Access,False
"I lots my password, can I recover it?",12,Password Recovery & Account Access,False
"I would like to inform of a problem making a payment, could you help me?",1,Payment Problems & Reporting,False
can you find information about your money back policy?,37,Refund Requests & Policies,False
can u ask an agent how to update my profile ?,17,Account Profile & Agent Changes,False
"I have a question, what do I have to do to call Client Service?",20,Customer Support & Contact,False
can you tell me if I can register several profiles with the same email address?,25,Multiple Account Management,False
"i want to track my order, what can i do?",-1,Outlier/Noise,False
I want to know if I can have several profiles,25,Multiple Account Management,False
"i purchased a product, how could i modify my purchaes?",5,Order Modifications & Changes,False
can I check your money back guarantee?,37,Refund Requests & Policies,False
"i wanna see the potions for delivwry, can u help me?",30,Payment Processing & Billing Errors,False
"I don't wang my user account, can you remove it ?",8,Account Deletion & Cancellation,False
"please, ask an agent if i can obtain some bills",21,Bill Downloading Help,False
what information do you have about requesting a bill?,6,Missing or Lost Bills,False
i wanna see a bil,3,Missing Invoices & Download Issues,False
Id like to request information about obtainnig some bills,6,Missing or Lost Bills,False
"I want to inform of a payment problem, can you help me ?",1,Payment Problems & Reporting,False
"I bought an item, what do I have to do to change my purchase?",5,Order Modifications & Changes,False
can u ask an agent for information about seeing some invoices?,35,Invoice Support Requests,False
I want to solve an issue with my payment,1,Payment Problems & Reporting,False
"please, ask an agent how to reset my account password",12,Password Recovery & Account Access,False
ask an agent if i can inform of fucking issues making a payment,7,Payment & Account Issues,False
i wanna know if i can receive the newsletter,28,Newsletter Subscriptions & Updates,False
"i lost my invoice, can u view it?",3,Missing Invoices & Download Issues,False
"I ordered something, how do i change my order?",5,Order Modifications & Changes,False
"could you tell me if I could register several profiles with a single email address , please?",25,Multiple Account Management,False
"can u ask an agent how i could inform of a problem paying, please?",7,Payment & Account Issues,False
"I want to see your money back guarantee, what should I do?",37,Refund Requests & Policies,False
"I want to make an opinion for a service, what do I have to do?",11,Customer Reviews and Feedback,False
"I changed my mind and I'd like to delete my user account, please",42,Account Cancellation,False
"you aren't helping , contact someone",9,Human Interaction Support,False
tell me if I can obtain some bills,6,Missing or Lost Bills,False
can you tell me about the options for delivery?,30,Payment Processing & Billing Errors,False
I want to see the email of Customer Service,14,Customer Support Contact Info,False
"I can't remember my account password, what can I do?",12,Password Recovery & Account Access,False
"I'd like to recover my password, what should I do?",12,Password Recovery & Account Access,False
I need help informing of a problem making a payment,1,Payment Problems & Reporting,False
I want to solve problems with my payment,1,Payment Problems & Reporting,False
"I want to submit a consumer complaint for a service, what can I do?",27,Consumer Complaint Submission,False
i want to know something about downloading some invoices,3,Missing Invoices & Download Issues,False
how can i file a complaint for a service?,27,Consumer Complaint Submission,False
"please, ask an agent if my delivery is on its way",29,Customer Service Contact Information,False
"the concert was postponed, what can I do?",10,Event Cancellation and Refunds,False
"I'm discontent with the service, what should I do to lodge a complaint?",18,Consumer Complaints and Dissatisfaction,False
can you tell me if my order is out for delivery?,0,Package Tracking & Delivery Status,False
"I need an user account, what can I do?",2,Account Creation Problems,False
show me my invouce,3,Missing Invoices & Download Issues,False
"I got an eror when I attempted to pay, but my card was charged anyway, what should I do to inform of it?",22,Payment & Billing Errors,False
where can I view the delivery options?,30,Payment Processing & Billing Errors,False
how can I check your payment methods?,47,Payment Methods,True
"i have a question, whta should i do to talk to customer support?",20,Customer Support & Contact,False
can u ask an agent how i can notify an issue with my payment?,7,Payment & Account Issues,False
"my fucking profile has been hacked, what should i do to get it back?",-1,Outlier/Noise,False
"my user account was hacked, and I need help getting it back",33,Email & Contact Information,False
could you find information about your money back policy?,37,Refund Requests & Policies,False
"I changed my mind, how do I cancel my online account?",42,Account Cancellation,False
"i have an issue paying for my online order, help me inform of it",46,Online Payment Issues,True
"I want to make a comment for a service, can you help me?",11,Customer Reviews and Feedback,False
ask an agent if i can view my bills,21,Bill Downloading Help,False
what information do you have about seeing an invoice?,3,Missing Invoices & Download Issues,False
"I'm not happy with the service, make a consumer complaint",18,Consumer Complaints and Dissatisfaction,False
"I want information, how can I call Customer Support?",20,Customer Support & Contact,False
I have a problem making a payment with card,16,Card Payment Issues,False
"i wanna view my bills, what can i do?",6,Missing or Lost Bills,False
"I got an error message when I attempted to make an payment, but my card was charged anyway, I need help notifying it",52,Payment Error & Accidental Charge,True
"i wanna track my purchase, what can i do?",0,Package Tracking & Delivery Status,False
"I got an error when I tried to make a payment, but I was charged anyway, what can I do to inform of it?",26,Failed Transaction Attempts & Charges,False
I want to know how to get some bills,6,Missing or Lost Bills,False
"I can't understand you, howdo I contact a person?",-1,Outlier/Noise,False
how do I report problems with my payment?,1,Payment Problems & Reporting,False
can you find information about your payment methods?,47,Payment Methods,True
"id like to notify an issue with my payment, could u help e?",1,Payment Problems & Reporting,False
"i have an issue paying for my order , can u inform of it?",15,Online Payment Problems,False
where to get a reimbursement,51,Reimbursement Requests,True
"the event was cancelled, how can i get a reimbursement?",10,Event Cancellation and Refunds,False
"i have no account, i need help registering",2,Account Creation Problems,False
can you give me information about the email address of the Client Service?,20,Customer Support & Contact,False
could you tell me what the fucking free phone number to contact Client Service is?,20,Customer Support & Contact,False
"i want information, what can i do to send an email to customer service?",14,Customer Support Contact Info,False
how can I se the status of my reimbursement?,4,Refund & Reimbursement Policy,False
can you show me the phone no to contact Customer Support?,20,Customer Support & Contact,False
"my profile's been hacked, what can I do to get it back?",-1,Outlier/Noise,False
"I have an issue when trying to pay for my order, can I report it?",15,Online Payment Problems,False
how do I request an invoice?,3,Missing Invoices & Download Issues,False
"I got an error when I tried to pay, but I was charged anyway, can you help me?",41,Profile Deletion Request,False
"I'd like to use my other profile, what do I have to do to switch them?",48,Profile Management & Editing,True
"my online account sas hacked, what can I do to get it back?",33,Email & Contact Information,False
"I have an issue when trying to pay for my order, how can I report it?",15,Online Payment Problems,False
can u ask an agent for information about there reimbursement policy?,4,Refund & Reimbursement Policy,False
"you aren't helping, how can I speak with a person?",9,Human Interaction Support,False
can u ask an agent how i can report a payment problem?,7,Payment & Account Issues,False
can I obtain some invoices?,3,Missing Invoices & Download Issues,False
"I want to ldge a comment for a service, can you help me?",11,Customer Reviews and Feedback,False
"I got an error message when I tried to pay, but I was charged anyway, help me report it",41,Profile Deletion Request,False
how to leave an opinion for a service,11,Customer Reviews and Feedback,False
tell me how I can track my deliveries,43,Delivery Tracking,True
iwanna check my invoices,3,Missing Invoices & Download Issues,False
"I don't want my user account, what can I do to cancel it?",8,Account Deletion & Cancellation,False
I want to know if I could create two fucking user accounts with a single email address,13,Account Creation & Management,False
"I want to change mypurchase, can you give me some information?",5,Order Modifications & Changes,False
"I lost my invoice, help me see it",3,Missing Invoices & Download Issues,False
"I changed my mind, help me remove my profile",31,Compromised Account Recovery,False
"you aren't helping, what can I do to contact a human?",9,Human Interaction Support,False
"i want to notify a problem making a payment, what should i do?",1,Payment Problems & Reporting,False
help me check the ticket delivery options,-1,Outlier/Noise,False
"i can't find my bill, i need help checking it",40,Missing Bill Access & Viewing,False
how to solve a problem making a payment,1,Payment Problems & Reporting,False
"I haven't got a profile, what do I have to do?",2,Account Creation Problems,False
help me notify an issue paying,1,Payment Problems & Reporting,False
can you tell me if I can create two profiles with the same email?,25,Multiple Account Management,False
"i havent got a profile , what do i have to do?",2,Account Creation Problems,False
"I don't like the service, what do I have to do to lodge a complaint?",18,Consumer Complaints and Dissatisfaction,False
"i ordered something, how can i modify my purchase?",5,Order Modifications & Changes,False
"ask an agent where i can notify issues making a payent , please",7,Payment & Account Issues,False
"I don't want my account, what can I do to cancel it?",8,Account Deletion & Cancellation,False
"please, askan agent how to request a refund",-1,Outlier/Noise,False
"I have no online account, what can I do to create one?",2,Account Creation Problems,False
"can u give me information about the email to contact Customer Service, please?",14,Customer Support Contact Info,False
"i lost my invoices, can i check them?",3,Missing Invoices & Download Issues,False
tell me if I can create more than one profile with the same email address,25,Multiple Account Management,False
how do I change to another user account?,38,Account Switching and Preferences,False
"i got an error when i tried to pay, but my card was charged anyway and i wanna notify it",22,Payment & Billing Errors,False
how do I remove my user account?,8,Account Deletion & Cancellation,False
"the concert was cancelled, how could I request a reimbursement?",10,Event Cancellation and Refunds,False
"i have a problem when trying to make a payment, what do i have to do to notify it?",1,Payment Problems & Reporting,False
can you etll me howto check my packages?,30,Payment Processing & Billing Errors,False
can I create several accounts with the same email?,13,Account Creation & Management,False
"i got an error when i tried to pay, but i was charged anyway , i need help reporting it",41,Profile Deletion Request,False
could u ask an agent for information about modifying my fucking order?,50,Order Modification and Cancellation,True
"I have a problem paying for my online order, what should I do to inform of it?",46,Online Payment Issues,True
tell me if there's a newsletter to stay informed,28,Newsletter Subscriptions & Updates,False
"please, do you mind asking an agent if my fucking shipment is out for delivery?",29,Customer Service Contact Information,False
I want to know if I can request a invoice,3,Missing Invoices & Download Issues,False
"I don't want my profile, cancel it",31,Compromised Account Recovery,False
"someone stole my account password, can you reset it?",12,Password Recovery & Account Access,False
can u ask an agent to change to another profile?,17,Account Profile & Agent Changes,False
how can I see an invoice?,3,Missing Invoices & Download Issues,False
could you ask an agent where I can create a fucking online account?,17,Account Profile & Agent Changes,False
can you tell me if I can cteate two profiles with a single email?,25,Multiple Account Management,False
"youre not helping and id like to talk to a fucking human agent, lease",24,Customer Support & Communication,False
"I got an error message when I attempted to pay, but my card was charged anyway, help me inform of it",22,Payment & Billing Errors,False
"can you ask an agent where I can notify a fucking problem paying, please?",7,Payment & Account Issues,False
what can you tell me about getting a bill?,6,Missing or Lost Bills,False
"I have a question , what should I do to send an email to Client Service?",20,Customer Support & Contact,False
"i want information, how do i talk to client service?",20,Customer Support & Contact,False
I have no profile,2,Account Creation Problems,False
"I didn't receive my invoices, what should I do to view them?",3,Missing Invoices & Download Issues,False
"i wanna inform of a problem with my payment, can u help me?",1,Payment Problems & Reporting,False
"I haven't got a proile, can you help me?",2,Account Creation Problems,False
can you obtain an invoice?,3,Missing Invoices & Download Issues,False
I need help making a complaint,27,Consumer Complaint Submission,False
"i purchased a product, how can I modify my order?",5,Order Modifications & Changes,False
"i wanna submit a review for a service, can u help me?",11,Customer Reviews and Feedback,False
"i want to check the cancellation fee, what do i have to d?",19,Cancellation Fees and Penalties,False
"i am happy with the service, what should i do to submit a comment?",11,Customer Reviews and Feedback,False
"I haven't got an account, can you create one?",2,Account Creation Problems,False
can I own more than one profile?,25,Multiple Account Management,False
youre not helping and i wanna speak with a human,9,Human Interaction Support,False
can i make a complaint for a service?,27,Consumer Complaint Submission,False
"I made a mistake, can I change my order?",50,Order Modification and Cancellation,True
"an error pops when I try to pay, what do I have to do?",36,Order Placement Errors,False
ask an agent how i can report an issue making a payment,7,Payment & Account Issues,False
"i got an error when i attempted to pay, but i was charged anyway , how can i notify it?",41,Profile Deletion Request,False
"I've got no account, what can I do to create one?",2,Account Creation Problems,False
ca oyu tell me the email to contact Client Service?,20,Customer Support & Contact,False
"I got an error message when I attempted to make a payment, but my card was charged anyway, can you notify it?",52,Payment Error & Accidental Charge,True
could you find information about the mail of the Customer Support?,14,Customer Support Contact Info,False
"an error pops when i try to pay for my order, what should i do?",36,Order Placement Errors,False
"I wanna track my order, tell me where to do it",-1,Outlier/Noise,False
"i want to use my other online account, how can i change them?",38,Account Switching and Preferences,False
I need help leaving a comment for a service,11,Customer Reviews and Feedback,False
I need an account,2,Account Creation Problems,False
where do I request an invoice?,3,Missing Invoices & Download Issues,False
