utterance,category
can u ask an agent to talk to customer support?,CONTACT
"I can't remember my account password, how can I reset it?",ACCOUNT
can you ask an agent where I can check my package?,ORDER
"i wana cancel my profile, how can i do it?",ACCOUNT
"i havent got a profile, what should i do?",ACCOUNT
how can I track my reimbursement?,REFUNDS
"I have an issue making a payment with card, can I notify it?",PAYMENT
"I can't understand you, what should I do to contact a person?",CONTACT
"please, can u ask an agent how i could solve a payment issue?",PAYMENT
what's the mail of Customer Support?,CONTACT
"I want to lodge an complaint, can you help me?",FEEDBACK
"I want to see cancellation penalties, what do I have to do?",CANCELLATION_FEE
can i leave an opinion for a service?,FEEDBACK
"I want to check the options for delivery, what can I do?",DELIVERY
"ask an agent where I could report a fucking problem making a payment, please",PAYMENT
"I got an error when I tried to make a payment, but my card was charged anyway, what do I have to do to report it?",PAYMENT
"I'm not happy with the service, what should I do to make a consumer complaint?",FEEDBACK
show me the email address to contact customer support,CONTACT
"can u ask an agent how to request some invoices, please?",INVOICES
I'd like to see the email address of the Customer Service,CONTACT
I want to know if I can make a payment with Visa,PAYMENT
"i made a mistake and I would like to modify my purchase, please",ORDER
could you ask an agent how to write an opinion?,FEEDBACK
information about requesting some invoices,INVOICES
"I want to track my reimbursement, what should I do?",REFUNDS
"I have a question, how can I call Customer Support?",CONTACT
"someone stole my pssword , I need help recovering it",ACCOUNT
"i have a question, could u send an email to customer support, please?",CONTACT
"I waant to inform of a problem with my payment, cqn you help me?",PAYMENT
"can u give me information about the email address of the Customer Service, please?",CONTACT
i want information about your reimbursement policy,REFUNDS
contact a human,CONTACT
"I want to submit a review, can you helpo me?",FEEDBACK
where to subscribe to the newsletter,NEWSLETTER
"I need information, can I talkto Customer Service?",CONTACT
"i want to subscribe to the newsletter, tell me how I can do it",NEWSLETTER
"I bought a product, how can I change my purchase?",ORDER
I want to know where I can check my shipments,ORDER
"ask an agent if I could change to another account, please",ACCOUNT
can you find information about the mail address of the Client Service?,CONTACT
"please, could you ask an agent if I could solve a fucking issue with my payment?",PAYMENT
"you're not helping, what should I do to talk to a human agent?",CONTACT
is there any human agent available?,CONTACT
I purchased an item and I want to change my purchase,ORDER
"I have a problem when trying to make a payment, can you notify it?",PAYMENT
can you find information about the email address of the Customer Support?,CONTACT
"I need information, what should I do to send an email to Customer Support?",CONTACT
"i dont like the service, lodge a consumer complaint",FEEDBACK
"I have a question, help me send an email to Customer Service",CONTACT
I want to report problems with my payment,PAYMENT
"I purchased a product, what should I do to change my purchase?",ORDER
"I want to solve an issue with my payment, what can I do?",PAYMENT
"can u ask an agent if i could check ym inovices, please?",INVOICES
"I want to notify an issue with my payment, what can I do?",PAYMENT
where do I modify my purchase?,ORDER
help me leave an opinion,FEEDBACK
"i can't find my bill, what do i have to do to see it?",INVOICES
"i wanna reset my account password, how can i do it?",ACCOUNT
"the fucking show was postponed and I'd like to obtain a reimbursement, please",REFUNDS
"I have a problem when trying to pay with card, I need help reporting it",PAYMENT
"i have a problem when trying to pay for my order, could u inform of it?",PAYMENT
"my online account was hacked, what do I have to do to recover it?",ACCOUNT
can u show me information about your payment methods?,PAYMENT
"my online account's been hacked, how do I recover it?",ACCOUNT
"you're not helping, can I talk to a human agent?",CONTACT
"I get an error when I attempt to make a payment with card, what should I do?",PAYMENT
"can you tell me if i could register several user accounts with the same email, please?",ACCOUNT
"I'm discontent with the service , I need help makign a consumer complaint",FEEDBACK
I want to see the status of my refund,REFUNDS
how can I report an issue making a payment?,PAYMENT
"I want to download a bill, tell me how to do it",INVOICES
how can i cancel my online account?,ACCOUNT
"someone stole my account password, how can I reset it?",ACCOUNT
"ask an agent if I could report a fucking problem paiyng, please",PAYMENT
how can I view my bills?,INVOICES
can i create more than one online account with the same email address?,ACCOUNT
an error message pops when I try to make a payment with card,PAYMENT
how to send an email to Client Service,CONTACT
I changed my mind and I want to remove myonoine account,ACCOUNT
"the show was postponed and i wanna obtain a refund, please",REFUNDS
"you're not helping, what should I do to talk to a human?",CONTACT
"please, could you show me my bills?",INVOICES
I want to know where to check my packages,ORDER
"an error message pops when I attempt to make a payment with card, what do I have to do?",PAYMENT
"ask an agent how i can make a consumer complaint, please",FEEDBACK
"could u ask an agent to give me information about the fucking delivery options, please?",DELIVERY
"i want to request a bill, tell me how to do it",INVOICES
im not happy with the service and i wanna lodge a consumer complaint,FEEDBACK
i want to check your reimbursement policy,REFUNDS
"i wanna notify a payment issue, can u help me?",PAYMENT
is there a free phone no to contact Customer Support?,CONTACT
show me the free number of Client Service,CONTACT
"I don't understand you, I need help talking to a human",CONTACT
"I got an error when I tried to make a payment, but I was charged anyway, how do I notify it?",PAYMENT
"I want to see a bill, can you tell me how I can do it?",INVOICES
can you tell me what the phone number of client service is?,CONTACT
I want to contact Client Service,CONTACT
"please, could you tell me if I can create several user accounts with a single email?",ACCOUNT
how to call Client Service,CONTACT
how do i see my bills?,INVOICES
"I have an issue when trying to make a payment with card, can I notify it?",PAYMENT
"I can't find my bills, help me see them",INVOICES
i need help checking your refund policy,REFUNDS
I want to use my other profile,ACCOUNT
"I have a problem paying for my order , can you help me?",PAYMENT
can I check the cancellation penalties?,CANCELLATION_FEE
"tell me if Ican register more than one user account with a single email address, please",ACCOUNT
help me delete my account,ACCOUNT
"i have an issue when trying to pay, inform of it",PAYMENT
"I got a error when I attempted to pay, but I was charged anyway, how can I inform of it?",PAYMENT
"I have a question, how can I talk to Customer Service?",CONTACT
can you tell me if I can create two online accounts with a single email address?,ACCOUNT
I want to delete my user account,ACCOUNT
i wanna know if there is a newsletter to stay up-to-date,NEWSLETTER
tell me if I can download some bills,INVOICES
"I got an error message when I tried to make a payment, but I was charged anyway, can I report it?",PAYMENT
"I have a problem when trying to pay for my online order, what should I do to report it?",PAYMENT
can you tell me if there is a free number to contact Customer Support?,CONTACT
"i have a question, speak with client service",CONTACT
ive got no online accountand i want to create one,ACCOUNT
"I have a rpoblem paying for my order, what should I do to report it?",PAYMENT
"I wanna track my orders, can you tell me how I can do it?",ORDER
"please, I wanna know how I can track my orders",ORDER
"can u ask an agent if i could switch to aqnother account, please?",ACCOUNT
sbow me the email address to contact clent service,CONTACT
where do I see the fucking cancellation fee?,CANCELLATION_FEE
"I ordered something, I need help changing my order",ORDER
help me notify a problem with my payment,PAYMENT
"I want to use my other online account, what should I do to change them?",ACCOUNT
i wanna know if i can subscribe to the newsletter,NEWSLETTER
can I update my shipping address?,SHIPPING
how can I obtain a refund?,REFUNDS
"I haven't got a profile, help me create one",ACCOUNT
"i wanna use my other user account, can u change them?",ACCOUNT
I have a question and I want to send an email to Client Service,CONTACT
can you tell me if I can register two accounts with the same email?,ACCOUNT
"the game was cancelled , wat do I have to do to get a refund?",REFUNDS
"i have a problem making a payment, what do i have to do to report it?",PAYMENT
information about subscribing to the newsletter,NEWSLETTER
i want to see the phone no of Customer Service,CONTACT
"I got an error message when I attempted to make a payment, but I was charged anyway, can you inform of it?",PAYMENT
can you check the status of my refund?,REFUNDS
I need help removing my account,ACCOUNT
I want to view your money back policy,REFUNDS
"could u ask an agent where to cancel my account, please?",ACCOUNT
"I have a question, help me talk to Customer Support",CONTACT
can u ask an agent how to solve an issue making a payment?,PAYMENT
can you tell me how to know where my order is?,ORDER
I wanna modify my order beforeyou send it,ORDER
"I haven't got a user account, I need help registering",ACCOUNT
"you aren't helping, what do I have to do to talk to someone?",CONTACT
"the show was cancelled, what should i do ot request a reimbursement?",REFUNDS
i want to solve payment problems,PAYMENT
"I have a problem paying, how can I notify it?",PAYMENT
"I can't understand you, what can I do to contact a human ?",CONTACT
where is my order?,ORDER
"i am happy with the service, can u file a comment?",FEEDBACK
"I got an error when I tried to make a payment, but my card was charged anyway and I would like to notify it",PAYMENT
"ask an agent how I could cancel my online account, please",ACCOUNT
"I've got no account, can I create one?",ACCOUNT
"I need information, call Customer Support",CONTACT
I want to know if I can track my deliveries,ORDER
"I can't find my bill, how do I check it?",INVOICES
help me report a problem making a payment,PAYMENT
I need help opoening an user account,ACCOUNT
"I purchased something, how can I change my purchase?",ORDER
where to track my reimbursement,REFUNDS
i want to know if i can get some invoices,INVOICES
I don't like the service and I want to make a consumer complaint,FEEDBACK
can I file a consumer complaint?,FEEDBACK
"I've got no user account, can you open one?",ACCOUNT
I want to know if my shipments are out for delivery,ORDER
where do I check the options for ticket delivery?,DELIVERY
I want to call Customer Service,CONTACT
"I want to create a user acount, can you help me?",ACCOUNT
"an error pops when I try to make a payment, what do I have to do?",PAYMENT
"the event was postponed, how can i obtain a refund?",REFUNDS
the show was cancelled and I want to request a reimbursement,REFUNDS
"i wanna make a consumer complaint fror a service, can u help me?",FEEDBACK
"I don't want my online account, can I remove it?",ACCOUNT
"I would like information, can I talk to Customer Support?",CONTACT
how to inform of issues paying,PAYMENT
"I have a problem paying, what can I do?",PAYMENT
"i lost my password, i need help recovering it",ACCOUNT
how do I check the options for delivery?,DELIVERY
"please, can u ask an agent where to leave a comment?",FEEDBACK
"I have a question, how do I send an email to Customer Service?",CONTACT
"I purchased soemthing, can i chbange my purchase?",ORDER
"my user account's been hacked, how could I get it back?",ACCOUNT
I want to know if I can register several profiles with a single email address,ACCOUNT
I want to know if my packages are out for delivery,ORDER
"I made a mistake, modify my purchase",ORDER
"I didn't receive my bill, what should do to iew it?",INVOICES
can you ask an agent if Customer Service is available?,CONTACT
"I want to use my other profile, what can I do to change them ?",ACCOUNT
where to see your payment methods,PAYMENT
"my online account's been hacked, get it back",ACCOUNT
"i dont like the service, how can i submit a consumer complaint?",FEEDBACK
"you arent helping, contact someone, please",CONTACT
"i got an errr when i attempted to pay, but i was charged anyway, inform of it",PAYMENT
how can i talk to a human agent?,CONTACT
"please, can you tell me if I can create several profiles with the same email address?",ACCOUNT
"I don't want my online account, what do I have to do to delete it?",ACCOUNT
I want to see the free phone number of Customer Support,CONTACT
"I have an issu paying for my online order, can I notify it?",PAYMENT
I wasnt to solve issues making an payment,PAYMENT
where to get an invoice,INVOICES
"I got an error message when I attempted to pay, but I was charged anyway, can I notify it?",PAYMENT
"I want to obtain an invoice, can you tell me where to do it?",INVOICES
I want to request information about obtaining some invoices,INVOICES
tell me how long refunds take,REFUNDS
i want to see the delivery period,DELIVERY
"could u ask an agent what my order of my fucking package is, please?",ORDER
I need help creating an online account,ACCOUNT
I want to know what the number to contact Client Service is,CONTACT
i need help recovering my account password,ACCOUNT
"you're not helping, what should I do to speak with a human?",CONTACT
"you're not helping, talk to a person",CONTACT
I want to view te acncellation penalty,CANCELLATION_FEE
can u ask an agent how i can inform of a problem with my payment?,PAYMENT
were to check my package,ORDER
can you tell me the mail to contact Customer Support?,CONTACT
I don't have a user account and I want to register,ACCOUNT
I want to know how to request an invpice,INVOICES
"please, can you ask an agent where I can receive a refund?",REFUNDS
"I don't understand you, help me speak with a human agent",CONTACT
"I ordered a product, how can I modify my purchase?",ORDER
"I don'tunderstand you, can I contact a person ?",CONTACT
"I don't understand you, can you talk to a human?",CONTACT
can you see some bills?,INVOICES
"I can't remember my account password, can you help me?",ACCOUNT
"I ordered something, what should I do to modify my purchase?",ORDER
can i change to another user account?,ACCOUNT
"my profile was hacked, how can i get it back?",ACCOUNT
"ask an agent where to report an issue paying, please",PAYMENT
I want to place an order,ORDER
"can you tell me if i can create two accounts with the same email, please?",ACCOUNT
the show was postponed and I want to get a reimbursement,REFUNDS
can u ask an agent where i can make an order?,ORDER
I want to check the delivery options,DELIVERY
"i am happy with the service, help me lodge a comment",FEEDBACK
can I have more than one account?,ACCOUNT
"I don't have an account, help me register",ACCOUNT
"I do not understand you, could you talk to a person?",CONTACT
how do I view your payment options?,PAYMENT
"I ordered an item, help me modify my order",ORDER
"i got an error when i attempted to make a payment, but my card was charged anyway, what can i do to notify it?",PAYMENT
"I got an error message when I attempted to pay, but I was charged anyway, can you inform of it?",PAYMENT
ask an agent hoe i can notify a fucking problem with my payment,PAYMENT
ask an agent how to inform of a fucking problem paying,PAYMENT
where do I check my shipment?,ORDER
can I contact someone?,CONTACT
do you mind asking an agent how I could request some invoices?,INVOICES
"im discontent with the service, can i file a consumer complaint?",FEEDBACK
how do I remove my online account?,ACCOUNT
can you tell me if I can check my package?,ORDER
"I need a reimbursement, how do I get one?",REFUNDS
"i got an error when i attempted to make a payment, but i was charged anyway, report it",PAYMENT
"the game was postponed, can u help me?",REFUNDS
"i changed my mind, what can i do to delete my online account?",ACCOUNT
can u ask an agent if i can get a refund?,REFUNDS
can you tell me if i can own several user accounts?,ACCOUNT
how can I view your money back guarantee?,REFUNDS
ask an agent how to see the status of my purchase,ORDER
tell me where I can gt an invoice,INVOICES
"could u ask an agent where i can close my profile, please?",ACCOUNT
"I want information, talk to Customer Service",CONTACT
"I want to file an opinion for a service, what do I have to do ?",FEEDBACK
download an invoice,INVOICES
"I have an issue paying for my online order, what can I do to notify it?",PAYMENT
"I have an issue when trying to pay, how can I notify it?",PAYMENT
help me notify issues making a payment,PAYMENT
"I've got no online account, I need help opening one",ACCOUNT
could you ask an agent how I can report fucking issues with my payment?,PAYMENT
"can u ask an agent to cancel a fucking purchase, please?",ORDER
"I don't want my profile, how do I delete it?",ACCOUNT
"I don't have an online account, how do I open one?",ACCOUNT
"I want to get an invoice, can you tell me how I can do it?",INVOICES
I want to change my purchase before you send it,ORDER
"can you talk to fucking Client Service, please?",CONTACT
"I don't want my profile, what should I do to cancel it?",ACCOUNT
can I make an payment with Master Card?,PAYMENT
where can I view the cancellation penalties?,CANCELLATION_FEE
"I want to make a review for a service, can you help me?",FEEDBACK
can you tell me where to change my order?,ORDER
I don't have an account and I want to open one,ACCOUNT
check my shipment,ORDER
I want information about receiving the newsletter,NEWSLETTER
"i have an issue when trying to pay for my order, help me notify it",PAYMENT
i wanna speak with customer support,CONTACT
can you tell me if I can create two accounts with the same email address?,ACCOUNT
"I have an issue when trying to make a payment, help me inform of it",PAYMENT
how can I see the status of my purchase?,ORDER
"I want to lodge an opinion, what should I do?",FEEDBACK
I have a problem paying with card,PAYMENT
"I change my mind, what should I do to delete my online account?",ACCOUNT
"I need information, what do I have to do to speak with Customer Support?",CONTACT
"you aren't helping, how do I talk to a human?",CONTACT
could u ask an agent how i can request a reimbursement?,REFUNDS
"I haven't got an online account, can I register?",ACCOUNT
I want to know if I can check my packages,ORDER
where to switch to another user account,ACCOUNT
how do I solve a fucking problem paying?,PAYMENT
can I register two accounts with a single email?,ACCOUNT
can u ask an agent where i could check my fucking bills?,INVOICES
can you tell me about the delivery period for my ticket?,DELIVERY
I want to know if my padkage is out for delivery,ORDER
how can I see your refund policy?,REFUNDS
how to solve a payment issue,PAYMENT
I loxt my account password and I want to retrieve it,ACCOUNT
"i want to know if i could create two fucking online accounts with a single email, please",ACCOUNT
can you tell me the phone number of customer support?,CONTACT
"my user account's been hacked, can I recover it?",ACCOUNT
"im happy with the service, help me lodge an opinion",FEEDBACK
can u show me the number of Customer Service?,CONTACT
i wanna know what the mail of client service is,CONTACT
I purchased an item and I want to change my order,ORDER
"an error pops when I attempt to pay for my online order, what do I have to do?",PAYMENT
"i bought a product, can I change my order?",ORDER
"i want to report an issue making a payment, what can i do?",PAYMENT
"I have no online account, can you create one?",ACCOUNT
"i want to see my invoice, whaty should i do?",INVOICES
"the show was postponed, could I request a fuckingreimbursement?",REFUNDS
"please, can you ask an agent to notify a problem with my payment?",PAYMENT
ask an agent how I can make an fucking complant,FEEDBACK
tell me if I can register more than one user account with the same email,ACCOUNT
"I bought a product, what can I do to change my purchase?",ORDER
"I want to delete my profile, how can I do it?",ACCOUNT
can u ask an agent where i can report an issue with my payment?,PAYMENT
ask an agent if i canobtain a bill,INVOICES
"I have a question , I need help contacting Customer Service",CONTACT
"I have a problem making a payment, notify it",PAYMENT
"I don't have an online account, can I register?",ACCOUNT
"I lost my account password, what do I have to do to reset it?",ACCOUNT
is it possible to request a bill?,INVOICES
"ask an agent if i can inform of issues paying, please",PAYMENT
"I got an error when I tried to pay, but my card was charged anyway, I need help reporting it",PAYMENT
"I purchased an item, help me change my order",ORDER
"i want to notify an issue making a payment, what should i do?",PAYMENT
"please, could u ask an agent to solve a fucking problem making a payment?",PAYMENT
"ask an agent if i can solve a problem with my payment, please",PAYMENT
where to inform of issues making a payment,PAYMENT
"i need information, call customer service",CONTACT
can I check my package?,ORDER
"I don't understand you, can you talk to a human agent?",CONTACT
"I want to view my invoices, what ddo I have to do?",INVOICES
where can i check your payment methods?,PAYMENT
I want to check my deliveriers,ORDER
can I register several online accounts with a single email address?,ACCOUNT
"ive got no fucking online account, open one , please",ACCOUNT
can I close my profile?,ACCOUNT
"I have a problem paying for my online order, how can I report it?",PAYMENT
"can u call customer service, please?",CONTACT
can u ask an agent how to inform of an issue paying?,PAYMENT
can u ask an agent how i can inform of a payment issue?,PAYMENT
"i have an issue when trying to pay with card, what do i have to do?",PAYMENT
i want information and id like to send a email to fucking customerservice,CONTACT
how do i see the options for delivery?,DELIVERY
can i file a complaint?,FEEDBACK
ho to leave a review,FEEDBACK
I want information about the mail address of the Customer Service,CONTACT
"I want to track my orders, can you tell me how to do it?",ORDER
I want to know how I can track my shipment,ORDER
can you show me the mail address of the Customer Support?,CONTACT
"I want a user account, I need help opening one",ACCOUNT
"I have a problem paying with card, how do I inform of it?",PAYMENT
"I changed my mind, can I delete my user account?",ACCOUNT
can you tell me what the free number to contact customre service is ?,CONTACT
can you ask an agent where I can track my packages?,ORDER
"the concert was postponed, what do I have to do to get a reimbursement?",REFUNDS
"I changed my mind, can you delete my account?",ACCOUNT
help me notify a payment problem,PAYMENT
where to report an issue paying,PAYMENT
tell me if I can register several user accounts with a single email,ACCOUNT
can u ask an agent how i can send an email to customer service?,CONTACT
"the concert was cancelled, what do I have to do to obtain a reimbursement?",REFUNDS
I want information about the mail of the Customer Support,CONTACT
can u ask an agent if i can view the cancellation penalty?,CANCELLATION_FEE
ask an agent where to close my account,ACCOUNT
"I changed my mind, what ahould I do to close my profile?",ACCOUNT
"I don't have a shipping address, how do I set it up?",SHIPPING
can you tell me the email address of the Client Service?,CONTACT
can you ask an agent how to solve fucking problems paying?,PAYMENT
"i want to see the email address to contact Customer Support, please",CONTACT
"check my fuckingbill, please",INVOICES
"the event was cancelled , help me request a refund",REFUNDS
"im discontent with the service, can u make a consumer complaint?",FEEDBACK
"im discontent with the service, how do i file a consumer complaint?",FEEDBACK
can I report issues maiing a payment?,PAYMENT
"I haven't got an account, what do I have to do to open one?",ACCOUNT
"I want to file an opinion, can you help me?",FEEDBACK
how do I update my shipping address?,SHIPPING
"please, can u ask an agent where i can obtain a fucking reimbursement?",REFUNDS
"I have no user account, register",ACCOUNT
I have a problem making a payment,PAYMENT
"I want to view the options for ticket delivery, can you help me?",DELIVERY
ask an agent to switch to another profile,ACCOUNT
I want to know where to track my orders,ORDER
"could you ask an agent how to change the information on my fucking profile, please?",ACCOUNT
"youre not helping and i wanna speak with a human, please",CONTACT
"I got an error message when I tried to pay, but my card was charged anyway, help me notify it",PAYMENT
"I have no account, register",ACCOUNT
where to place an order,ORDER
how do I inform of an issue with my payment?,PAYMENT
tell me how to track my shipment,ORDER
I want to know what the hours of Customer Service are,CONTACT
ask an agent where I can see their fucking money back policy,REFUNDS
help me speak with Client Service,CONTACT
"i need help notifying issues making a payment, please",PAYMENT
I want to report problems making a payment,PAYMENT
Ifound an issue creating an account,ACCOUNT
"I have an issue when trying to pay for my order, whta can I do to notify it?",PAYMENT
"i wanna track my order, can u help me?",ORDER
i need information and i want to spaek with client service,CONTACT
"i want a refund , what can i do to obtain one?",REFUNDS
ask an agent if i can check my package,ORDER
i wanna know if i could have more than one user account,ACCOUNT
I want to get information about subscribing to the newsletter,NEWSLETTER
"i got an error message when i attempted to make a payment, but i was charged anyway and i want to inform of it",PAYMENT
I have no online account,ACCOUNT
"I lost my account password, what should I do to retrieve it?",ACCOUNT
i need help filing a complaint,FEEDBACK
"I want a refund, what can I do to obtain one?",REFUNDS
ask an agent for information about the cancellation penalties,CANCELLATION_FEE
I want information about downloading an invoice,INVOICES
I want to notify a problem with my payment,PAYMENT
I want to know if you have a newsletter to keep me up-to-date,NEWSLETTER
can I own more than one account?,ACCOUNT
could u ask an agent to track my shipment?,ORDER
"I lost my invoice, what should I do to check it?",INVOICES
"I changed my mind, help me delete my user accoint",ACCOUNT
"I want to see some invoices, tell me how to do it",INVOICES
"i got a error when i attempted to pay, but my card was charged anyway, what can i do to inform of it?",PAYMENT
"I'm interested in your money back guarantee, tell me about it",REFUNDS
I want to modify my order,ORDER
I want to modify my shipping address,SHIPPING
"I want to see cancellation fees, can you help me?",CANCELLATION_FEE
"can you ask an agent if I can cancel my online account, please?",ACCOUNT
how can I request some bills?,INVOICES
"I forgot my account password, what should I do to retrieve it?",ACCOUNT
"I'm happy with the service, I need help filing a cdomment",FEEDBACK
i ordered an item and I want to modify my order,ORDER
"can u ask an agent how i can cancel my profile, please?",ACCOUNT
im not happy with the servicfe and i wanna submit a complaint,FEEDBACK
"I want a profile, help me create one",ACCOUNT
"you're not helping, what can I do to contact a human?",CONTACT
I don't want my profile and I want to delete it,ACCOUNT
is there any person available?,CONTACT
"i can't find my invoices, show them",INVOICES
tell me if I can track my deliveries,ORDER
where can I notify issues making a payment?,PAYMENT
"i wanna lodge a comment for a service, what should i do?",FEEDBACK
can you ask an agent how to get an invoice?,INVOICES
can you tell me how I cfan check my delivery?,ORDER
"please, could you ask an agent how I could reset my account password?",ACCOUNT
tell me if I can see some invoices,INVOICES
"I didn't receive my invoices, can you view them?",INVOICES
"I have an issue when trying to pay, report it",PAYMENT
"my account was hacked, can you get it back?",ACCOUNT
"you're not helping, I need help speaking with a human",CONTACT
how can I send an email to Client Service?,CONTACT
"I got an error message when I attempted to make a payment, but I was charged anyway, can I report it?",PAYMENT
"the game was cancellerd, what can I do?",REFUNDS
"I can't understand you, I need help speaking with someone",CONTACT
"I want to download a fucking bill, can you show me some information?",INVOICES
"I want information, I need help speaking with fucking Client Service",CONTACT
help me send an email to Client Service,CONTACT
tell me if there is a free phone number to contact Customer Support,CONTACT
"I have an issue making a payment, can you belp me ?",PAYMENT
can u ask an agent for information about requesting some invoices?,INVOICES
"could you ask an agent if I could view my bills, please ?",INVOICES
"i want to modify my profile, how can i do it?",ACCOUNT
"i want to make a consumer complaint for a service, can u help me?",FEEDBACK
"please, tell me if i could get a bill",INVOICES
is it possible to obtain some invoices?,INVOICES
"could u ask an agent where i could obtain a fucking refund, please?",REFUNDS
how do i call customer support?,CONTACT
can you ask an agent where I can view the fucking cancellation fee?,CANCELLATION_FEE
"the game was cancelled, can I obtain a refund?",REFUNDS
can you get some invoices?,INVOICES
"please, ask an agent where I could report a fucking issue paying",PAYMENT
"the show was postponed, what do i have to do to request a reimbursement?",REFUNDS
help me view my invoice,INVOICES
how do I see your money back policy?,REFUNDS
"I got an error message when I attempted to make a payment, but my card was charged anyway , help me notify it",PAYMENT
"I want to see a bill, can you give me some information?",INVOICES
"I can't remember my account password, help me recover it",ACCOUNT
what is your refund policy?,REFUNDS
what's the number to contact Customer Support?,CONTACT
I want to view the cancellation penalties,CANCELLATION_FEE
i wanna know what the mail of the Customer Support is,CONTACT
"I have a problem when trying to make a payment, can you inform of it?",PAYMENT
"I can't understand you, I need help speaking with a person",CONTACT
"an error message pops when I attempt to pay with card, what do I have to do?",PAYMENT
"ik would like to check my orders, can you tell me how I can do it, please?",ORDER
"I don't like the service, what can I do to make a complaint?",FEEDBACK
"I don't know anything about your money back policy, can you tell me about it, please?",REFUNDS
tell me if I can register several user accounts with a single email address,ACCOUNT
I cannot understand you and I'd like to talk to a person,CONTACT
I need information about getting a bill,INVOICES
"I can't understand you, can you talk to someone?",CONTACT
I want to see the email address of Customer Service,CONTACT
"ive got no fucking online account, i need help registering",ACCOUNT
"I want to report a problem with my payment, what can I do?",PAYMENT
I need help viewing my bills,INVOICES
ask an agent where I could lodge a consumer complaint for a service,FEEDBACK
"I want a profile, can you create one?",ACCOUNT
"i wanna make a review, what can i do?",FEEDBACK
how do I lodge a consumer complaint for a service?,FEEDBACK
"I want a user account, can I open one?",ACCOUNT
I need informationn about the mail of the Client Service,CONTACT
"I can't find my invoices, how could I view them?",INVOICES
what are the options for delivery?,DELIVERY
how can I check my order?,ORDER
how do i make a complaint?,FEEDBACK
"I lost my invoice, how do I see it?",INVOICES
"i purchased an item, i need help changing my purchase, please",ORDER
"could u ask an agent how i can contact fucking customer service , please?",CONTACT
"I can't understand you, can I contact a person?",CONTACT
"I have a problem paying with card , what should I do to notify it?",PAYMENT
tell me if I can create several online accounts with the same email address,ACCOUNT
tell me if i can track my packages,ORDER
"i got an error message when i tried to make a payment, but my card was charged anyway, how do i notify it?",PAYMENT
i need information about the mail of the Client Service,CONTACT
tell me if there is a newsletter i can receive,NEWSLETTER
"the show was postponed, what should I do to obtain a reimbursement?",REFUNDS
"the concert was postponed, can I get a reimbursement?",REFUNDS
"I want to check the ticket delivery options, what should I do?",DELIVERY
"I have n problem when trying to pay for my online order, how could I report it?",PAYMENT
"I have an question, I need help contacting Client Service",CONTACT
could you tell me if I can create two accounts with the same email address?,ACCOUNT
I have a problem registering,ACCOUNT
"I would like to make a fucking order, can you help me?",ORDER
"the game was cancelled, can I request a reimbursement?",REFUNDS
"I ofrgot my password, help me retrieve it",ACCOUNT
tell me where I can download a bill,INVOICES
ask an agent if i can cancel my account,ACCOUNT
can u ask an agent where to view the options for ticket delivery?,DELIVERY
i need help closing my user account,ACCOUNT
ask an agent how to change to another account,ACCOUNT
"I have no online account, I need help opening one",ACCOUNT
"i wanna request a bill, can you show me some information?",INVOICES
tell me about modifying my purchase,ORDER
"im happy with the service, submit a comment",FEEDBACK
"my account was hacked, what do I have to do?",ACCOUNT
can I cancel my account?,ACCOUNT
I would like to notify a fucking problem paying,PAYMENT
"can you ask an agent how to report a fucking issue paying, please?",PAYMENT
"I do not have an online account and I would like to open one, please",ACCOUNT
can yuou tell me if I can have more than one online account?,ACCOUNT
can you tell me the phone number to contact Customer Support?,CONTACT
"an error message pops when I attempt to pay for my online order, can you help me?",PAYMENT
"I would like to notify a problem with my payment, what can I do?",PAYMENT
"i have no user account, can u register?",ACCOUNT
can u ask an agent if I can check my package?,ORDER
how do I update my profile?,ACCOUNT
"please, can you ask an agent if I could inform of a fucking issue making a payment?",PAYMENT
I wanna know if my package is out for delivery,ORDER
ask an agent what my packages of my fucking shipment is,ORDER
speak with a human,CONTACT
"you arent helping, what can i do to contact someone?",CONTACT
what's the mail address to contact Customer Support?,CONTACT
I want to know how to get a bill,INVOICES
"I have a question, can I call Customer Support?",CONTACT
"I don't want my account, what can I do to remove it?",ACCOUNT
"I ordered a product, what do I have to do to change my rder?",ORDER
I want to know how to check my shipments,ORDER
"I have an issue when trying to pay with card, can you inform of it?",PAYMENT
i want a profile and i wana create one,ACCOUNT
"I'm not happy with the service, could you lodge a complaint?",FEEDBACK
"please, could you ask an agent to inform of problems paying?",PAYMENT
is it possible to get some bills?,INVOICES
tell me if I can create two user accounts with the same email,ACCOUNT
someone stole my account password and i want to recover it,ACCOUNT
can u ask an agent how to get a refund?,REFUNDS
I want to ask for information about seeing a bill,INVOICES
"please, can you ask an agent if I could reset my fucking account password?",ACCOUNT
ask an agent what the status of my order is,ORDER
"I got an error message when I tried to make a payment, but my card was charged anyway, how could I inform of it?",PAYMENT
how long do refunds take?,REFUNDS
"I have a problem when trying to pay for my order, can you help me?",PAYMENT
I need help getting a reimbursement,REFUNDS
"I got an error when I tried to make a payment, but my card was charged anyway and I want to notify it, please",PAYMENT
"i got an reror message when i tried to make a payment,but i was charged anyway",PAYMENT
"I have an issue when trying to make a payment, can you help me?",PAYMENT
my account was hacked and i want to recover it,ACCOUNT
how can i call customer service?,CONTACT
ask an agent if i could report payment problems,PAYMENT
