flags,utterance,category,intent
BSLQC,"I have no online account, I need help opening one",ACCOUNT,create_account
BLQ,"i wanna request a bill, can you show me some information?",INVOICES,get_invoice
BSL,tell me about modifying my purchase,ORDER,change_order
BLQC,"im happy with the service, submit a comment",FEEDBACK,review
BIQC,"my account was hacked, what do I have to do?",ACCOUNT,recover_password
BIL,can I cancel my account?,ACCOUNT,delete_account
BPLEW,I would like to notify a fucking problem paying,PAYMENT,payment_issue
BIPLDW,"can you ask an agent how to report a fucking issue paying, please?",PAYMENT,payment_issue
BPLEC,"I do not have an online account and I would like to open one, please",ACCOUNT,create_account
BILQZ,can yuou  tell me if I can have more than one online account?,ACCOUNT,create_account
BIL,can you tell me the phone number to contact Customer Support?,CONTACT,contact_customer_service
BILC,"an error message pops when I attempt to pay for my online order, can you help me?",PAYMENT,payment_issue
BIPLEC,"I would like to notify a problem with my payment, what can I do?",PAYMENT,payment_issue
BILQC,"i have no user account, can u register?",ACCOUNT,create_account
BILQD,can u ask an agent if I can check my package?,ORDER,track_order
BIL,how do I update my profile?,ACCOUNT,edit_account
BIPLDW,"please, can you ask an agent if I could inform of a fucking issue making a payment?",PAYMENT,payment_issue
BLQ,I wanna know if my package is out for delivery,ORDER,track_order
BMLQDW,ask an agent what my packages of my fucking shipment is,ORDER,track_order
BL,speak with a human,CONTACT,contact_human_agent
BILQC,"you arent helping, what can i do to contact someone?",CONTACT,contact_human_agent
BIL,what's the mail address to contact Customer Support?,CONTACT,contact_customer_service
BLQ,I want to know how to get a bill,INVOICES,get_invoice
BILC,"I have a question, can I call Customer Support?",CONTACT,contact_customer_service
BILC,"I don't want my account, what can I do to remove it?",ACCOUNT,delete_account
BILQCZ,"I ordered a product, what do I have to do to change my rder?",ORDER,change_order
BMLQ,I want to know how to check my shipments,ORDER,track_order
BILC,"I have an issue when trying to pay with card, can you inform of it?",PAYMENT,payment_issue
BLQCZ,i want a profile and i wana create one,ACCOUNT,create_account
BIPLC,"I'm not happy with the service, could you lodge a complaint?",FEEDBACK,complaint
BIPMLD,"please, could you ask an agent to inform of problems paying?",PAYMENT,payment_issue
BIML,is it possible to get some bills?,INVOICES,get_invoice
BL,tell me if I can create two user accounts with the same email,ACCOUNT,create_account
BLQC,someone stole my account password and i want to recover it,ACCOUNT,recover_password
BIQD,can u ask an agent how to get a refund?,REFUNDS,get_refund
BSLQ,I want to ask for information about seeing a bill,INVOICES,get_invoice
BIPLDW,"please, can you ask an agent if I could reset my fucking account password?",ACCOUNT,recover_password
BQD,ask an agent what the status of my order is,ORDER,track_order
BIPLQC,"I got an error message when I tried to make a payment, but my card was charged anyway, how could I inform of it?",PAYMENT,payment_issue
BI,how long do refunds take?,REFUNDS,check_refund_policy
BILC,"I have a problem when trying to pay for my order, can you help me?",PAYMENT,payment_issue
BSLQ,I need help getting a reimbursement,REFUNDS,get_refund
BPLC,"I got an error when I tried to make a payment, but my card was charged anyway and I want to notify it, please",PAYMENT,payment_issue
BLQCZ,"i got an reror message when i tried to make a payment,but i was charged anyway",PAYMENT,payment_issue
BILC,"I have an issue when trying to make a payment, can you help me?",PAYMENT,payment_issue
BQC,my account was hacked and i want to recover it,ACCOUNT,recover_password
BIL,how can i call customer service?,CONTACT,contact_customer_service
BPMLQD,ask an agent if i could report payment problems,PAYMENT,payment_issue
BLZ,I want to knowif I can register several online accounts with the same email,ACCOUNT,create_account
BILC,"I have a problem when trying to make a payment, what can I do to inform of it?",PAYMENT,payment_issue
BZ,where to change to anpther account,ACCOUNT,switch_account
BILC,"I have a question, what can I do to talk to Customer Service?",CONTACT,contact_customer_service
BILQC,"the game was postponed, what do I have to do to obtain a refund?",REFUNDS,get_refund
BILCZ,"I don't watn my profile, can  remove it?",ACCOUNT,delete_account
BSLC,"I can't find my bills, check them",INVOICES,check_invoices
BIMLC,"I want to track my packages, can you tell me how to do it?",ORDER,track_order
BSL,i need help creating an online account,ACCOUNT,create_account
BISLC,"I lost my invoices, how can I view them?",INVOICES,check_invoices
BL,show me the status of my purchase,ORDER,track_order
BIQC,"the event was postponed, what can i do?",REFUNDS,get_refund
BILQC,"I have an issue paying with card, how do I inform of it?",PAYMENT,payment_issue
BIPLC,"i have an issue when trying to pay with card, could i inform of it?",PAYMENT,payment_issue
BPSLQ,"Id like to request information about modifying my order, please",ORDER,change_order
BSLC,"i want to use my other user account, i need help changing them",ACCOUNT,switch_account
BMLQ,I want to know if I can register more than one online account with the same email,ACCOUNT,create_account
BIPLD,"could you ask an agent where to view the delivery options, please?",DELIVERY,delivery_options
BILC,"I got an error message when I tried to make a payment, but I was charged anyway, can you inform of it?",PAYMENT,payment_issue
BIQC,"I need a refund, what can I do to get one?",REFUNDS,get_refund
BL,an error pops when i try to pay with card,PAYMENT,payment_issue
B,I want information about the delivery options,DELIVERY,delivery_options
BILCZ,"you aren't helping, can I talkto a human agent?",CONTACT,contact_human_agent
BLQ,how to speak with Customer Service,CONTACT,contact_customer_service
BIPLQ,"could you tell me what the free number of Customer Support is, please?",CONTACT,contact_customer_service
BILQC,"I want to see your money back policy, what can I do?",REFUNDS,check_refund_policy
BLQD,ask an agent where to check my bills,INVOICES,check_invoices
BILC,"I lost my password, how do I reset it?",ACCOUNT,recover_password
B,I don't know anything about your refund policy,REFUNDS,check_refund_policy
BILQC,"I want to remove my account, how can I do it?",ACCOUNT,delete_account
BLC,"I have an issue paying for my online order, help me report it",PAYMENT,payment_issue
BILC,"I don't understand you, how can I talk to a human?",CONTACT,contact_human_agent
BI,can you show me the phone number to contact Customer Service?,CONTACT,contact_customer_service
BC,I'm not happy with the service and I want to file a complaint,FEEDBACK,complaint
BILC,"I have a question, what should I do to send an email to Customer Service?",CONTACT,contact_customer_service
BIPLDZ,"can you ask an agent to show me information about the statsu of my purchase, please?",ORDER,track_order
BPEC,you are not helping and I'd like to contact a human agent,CONTACT,contact_human_agent
BIPLQD,can u ask an agent if there's a newsletter I could receive?,NEWSLETTER,newsletter_subscription
BILQC,"i dont want my user account, what should i do to close it?",ACCOUNT,delete_account
BIMSLQC,"I didn't receive my invoice, what do I have to do to view it?",INVOICES,check_invoices
BILCZ,"I purchased something, what can  I do to modify my order?",ORDER,change_order
BQ,I want information about the status of my refund,REFUNDS,track_refund
BL,I want to delete my online account,ACCOUNT,delete_account
BMSLZ,I ned help checking the cancellation penalties,CANCELLATION_FEE,check_cancellation_fee
BIL,can you tell me the free phone number of Client Service?,CONTACT,contact_customer_service
BML,download some bills,INVOICES,get_invoice
BIL,can you show me the free phone number of Client Service?,CONTACT,contact_customer_service
B,help me check your refund policy,REFUNDS,check_refund_policy
BILQD,can u ask an agent how to obtain an invoice?,INVOICES,get_invoice
BLD,ask an agent to create a profile,ACCOUNT,create_account
BIQ,how do I edit the information on my profile?,ACCOUNT,edit_account
BILCZ,"i want to see my invoices, what can i so?",INVOICES,check_invoices
BILQCZ,"I want informatoin, how can I send an email to Customer Support?",CONTACT,contact_customer_service
BILQC,"I ordered something, what can i do to change my order?",ORDER,change_order
BILC,"i have an issue when trying to pay for my online order, how do i inform of it?",PAYMENT,payment_issue
BILQ,can i own more than one online account?,ACCOUNT,create_account
BLQC,"I have an issue when trying to pay for my online order, I need help notifying it",PAYMENT,payment_issue
BLZ,i want to requset a reimbursement,REFUNDS,get_refund
BIQCZ,"i get an error when i try to pay for my order, can u helo me?",PAYMENT,payment_issue
BP,"help me set up my shipping address, please",SHIPPING,set_up_shipping_address
BILQC,"I have no user account, what do I have to do?",ACCOUNT,create_account
BIPLD,"please, could you ask an agent what the mail of the Client Service?",CONTACT,contact_customer_service
BIPLQWC,"i wanna open a fucking online account, could u help me?",ACCOUNT,create_account
BILC,"an error pops when I try to make a payment for my online order, can you help me?",PAYMENT,payment_issue
BLQ,i wanna know what the email to contact customer service is,CONTACT,contact_customer_service
BILQC,"someone stole my account password, how do I retrieve it?",ACCOUNT,recover_password
BML,I found a problem when trying to create a profile,ACCOUNT,registration_problems
BILQCZ,"I got an error when I attempted to make a payment, but my card was charged anyway , what do I have to do to notify it?",PAYMENT,payment_issue
BLQC,I ordered an item and i wanna modify my purchase,ORDER,change_order
BILQCZ,"i haevnt got an account, what should i do to open one?",ACCOUNT,create_account
BPLQD,"please, ask an agent if I can open an account",ACCOUNT,create_account
BILC,"I have an issue making a payment with card, can I report it?",PAYMENT,payment_issue
BILQC,"i got an error message when i attempted to make a payment, but i was charged anyway, can u inform of it?",PAYMENT,payment_issue
BIQC,"I want an account, can I create one?",ACCOUNT,create_account
BLQD,ask an agent how to lodge a consumer complaint,FEEDBACK,complaint
BILC,"i lost my account password, what should i do to retrieve it?",ACCOUNT,recover_password
BPLQWC,"i want to modify my fucking purchase, tell me where I can do it, please",ORDER,change_order
BC,"I have an issue paying for my order, help me report it",PAYMENT,payment_issue
BIPC,"I'd like to report a payment issue, what do I have to do?",PAYMENT,payment_issue
BILC,"I ordered something, what do I have to do to change my purchase?",ORDER,change_order
BILQC,"i changed my mind, how can i close my online account?",ACCOUNT,delete_account
BLQCZ,"I wanna receive the newsletter, can you give me some  information?",NEWSLETTER,newsletter_subscription
BILC,"I don't understand you, how can I talk to someone?",CONTACT,contact_human_agent
BL,information about your payment options,PAYMENT,check_payment_methods
BLQC,i have no shipping address and i want to set one up,SHIPPING,set_up_shipping_address
BL,I want to know how to track my delivery,ORDER,track_order
BILQC,"my account's been hacked, what do i have to do?",ACCOUNT,recover_password
BSLQ,i need help notifying an issue with my payment,PAYMENT,payment_issue
BSLQ,I wanna know about modifying my purchase,ORDER,change_order
BILC,"the show was cancelled, what can I do to request a refund?",REFUNDS,get_refund
BLC,"I need information, help me speak with Customer Support",CONTACT,contact_customer_service
BILC,"I don't like the service, how do I submit a complaint?",FEEDBACK,complaint
BILC,"I can't understand you, how can I talk to a person?",CONTACT,contact_human_agent
BPLC,"I got an error when I tried to pay, but I was charged anyway and I'd like to inform of it",PAYMENT,payment_issue
BIL,can I register several online accounts with the same email address?,ACCOUNT,create_account
BIMLZ,can I register more than one user account witg a single email?,ACCOUNT,create_account
BLC,i need information and i want to call client service,CONTACT,contact_customer_service
BILC,"I want to file a consumer complaint, what can I do?",FEEDBACK,complaint
BL,how to make changes to my profile,ACCOUNT,edit_account
BQDWZ,ask an agent if i can  leave a fucking review,FEEDBACK,review
BPMSQCZ,"I can't find my invoice, helpo me check it, please",INVOICES,check_invoices
BPLEC,"I am happy with the service and I would like to submit an opinion, please",FEEDBACK,review
BILQC,"I want to make a comment for a service, what can I do?",FEEDBACK,review
BILC,"i need a refund, what can i do to obtain one?",REFUNDS,get_refund
BMSLCZ,I didn't receive my bipl and I want to view kt,INVOICES,check_invoices
BILQ,can i send an email to customer support?,CONTACT,contact_customer_service
BPMSL,"please, I'd like to ask for information about seeing some bills",INVOICES,get_invoice
BILC,"I don't have a shipping address, can I set one up?",SHIPPING,set_up_shipping_address
BILCZ,"I got an error when I attempted to pay, but I was charged anyway , can I notify it?",PAYMENT,payment_issue
BL,where to see your money back policy,REFUNDS,check_refund_policy
BIL,can you tell me if I can register two profiles with a single email?,ACCOUNT,create_account
BIML,how do I view my bill?,INVOICES,check_invoices
BILC,"I want to make an opinion, what should I do?",FEEDBACK,review
BILWC,"you aren't helping, how do I contact fucking someone?",CONTACT,contact_human_agent
BILC,"you're not helping, can I speak with a human?",CONTACT,contact_human_agent
BLQC,"I ordered a product, help me modify my purchase",ORDER,change_order
BPLQD,"ask an agent if I could notify an issue with my payment, please",PAYMENT,payment_issue
BLQC,"i purchased something, help me change my purchase",ORDER,change_order
BLQ,I want to know what the mail of Customer Service is,CONTACT,contact_customer_service
BILC,"I want to lodge an opinion, can you help me?",FEEDBACK,review
BILC,"i want to lodge a consumer complaint for a service, what do i have to do?",FEEDBACK,complaint
BSLQC,"I lost my bills, show them",INVOICES,check_invoices
BIMLQD,can u ask an agent where to inform of issues with my payment?,PAYMENT,payment_issue
BIMLQDZ,can u ask an agent were i can inform of issues with my payment?,PAYMENT,payment_issue
BL,tell me where to download a bill,INVOICES,get_invoice
BIPLQD,can u ask an agent if i could cancel my user account?,ACCOUNT,delete_account
BMLQ,"i want to see some invoices, can you show me some information?",INVOICES,get_invoice
BIMLZ,can you tell me how I can obtain some bils ?,INVOICES,get_invoice
BLC,"I don't understand you, contact a human",CONTACT,contact_human_agent
BIPLDW,"please, could you ask an agent if I could see the fucking cancellation fee?",CANCELLATION_FEE,check_cancellation_fee
BM,tell me how to get some invoices,INVOICES,get_invoice
BIL,how can I solve an issue paying?,PAYMENT,payment_issue
BLQ,i wanna open a user account,ACCOUNT,create_account
BILC,"i want to submit a comment for a service, what should i do?",FEEDBACK,review
BIPWZ,could you contact fucking Customer Service ?,CONTACT,contact_customer_service
BLC,"the show was cancelled, help me request a refund",REFUNDS,get_refund
BILC,"the concert was postponed, can you help me?",REFUNDS,get_refund
BILQCZ,"i have a question, what can i do to speak with client service ?",CONTACT,contact_customer_service
BILQC,"i bought an item, how do i modify my purchase?",ORDER,change_order
BQ,i wanna know how I can track my order,ORDER,track_order
BIMLQDZ,can u ask an gaent how to download some bills?,INVOICES,get_invoice
BIPLQD,"please, can u ask an agent where I can check my package?",ORDER,track_order
BILQD,can u ask an agent if i can inform of an issue paying?,PAYMENT,payment_issue
BLC,"I got an error message when I tried to make a payment, but my card was charged anyway",PAYMENT,payment_issue
BILC,"you aren't helping, can you speak with a person?",CONTACT,contact_human_agent
BIMLQZ,where can i report problems making a payent?,PAYMENT,payment_issue
BIPLQDWZ,could u askan agent ohw to check their fucking money back guarantee?,REFUNDS,check_refund_policy
BILQD,can u ask an agent what i can get a reimbursement for?,REFUNDS,get_refund
BILQ,how do I send an email to Customer Service?,CONTACT,contact_customer_service
BPLD,"please, ask an agent how i can contact customer support",CONTACT,contact_customer_service
BLZ,I want informatrion avout my bills,INVOICES,check_invoices
BILC,"I get an error message when I try to make a payment for my order, can you help me?",PAYMENT,payment_issue
BILQWCZ,"i wana lodge a fucking opinion, whta should i do?",FEEDBACK,review
BLQC,"I have an issue when trying to make a payment with card, I need help notifying it",PAYMENT,payment_issue
BILQC,"i want to delete my profile, where can i do it?",ACCOUNT,delete_account
BLQ,an error message pops when I attempt to make a payment for my online order,PAYMENT,payment_issue
BIPMLD,"can you ask an agent how I can inform of problems paying, please?",PAYMENT,payment_issue
BIL,is it possible to obtain an invoice?,INVOICES,get_invoice
BILQC,"I got an error message when I attempted to make a payment, but I was charged anyway, how can I notify it?",PAYMENT,payment_issue
BL,where to switch to another account,ACCOUNT,switch_account
BILCZ,"I want to notify a payment issue, can you help me ?",PAYMENT,payment_issue
BPLDZ,"please, ask an agent where I could reecive a refund",REFUNDS,get_refund
BILC,"I got an error message when I attempted to make a payment, but my card was charged anyway, how do I inform of it?",PAYMENT,payment_issue
BIMLQD,can u ask an agent to show me information about the cancellation penalties?,CANCELLATION_FEE,check_cancellation_fee
BL,I want to receive a reimbursement,REFUNDS,get_refund
BILC,"you aren't helping, what should I do to contact a human?",CONTACT,contact_human_agent
BL,I can't understand you,CONTACT,contact_human_agent
BILC,"I got an error message when I tried to make a payment, but I was charged anyway, what can I do?",PAYMENT,payment_issue
BILC,"I haven't got a user account, what can I do to open one?",ACCOUNT,create_account
BLQZ,I want to know how to chasnge my prchase,ORDER,change_order
BILQC,"I want information, what do I have to do to talk to Client Service?",CONTACT,contact_customer_service
BILQC,"i got an error when i tried to pay, but i was charged anyway, how do i inform of it?",PAYMENT,payment_issue
BIPQZ,"can u find information about the xancrllation fee, please?",CANCELLATION_FEE,check_cancellation_fee
BLC,"I'm happy with the service, lodge a review",FEEDBACK,review
BILZ,where can I notify a payment issue ?,PAYMENT,payment_issue
BS,I want to get information about changing my order,ORDER,change_order
BILC,"I have a question, how can I talk to Customer Support?",CONTACT,contact_customer_service
BPLCZ,"I'm not happoy with the service, file a cosumer complaint, please",FEEDBACK,complaint
BILC,"I want to lodge a complaint, what should I do?",FEEDBACK,complaint
BILC,"i need information, what do i have to do to speak with client service?",CONTACT,contact_customer_service
BILZ,where do I view the status of my refund ?,REFUNDS,track_refund
BIL,"I want to see an invoice, can you tell me where to do it?",INVOICES,get_invoice
BLQC,"I got an error message when I attempted to pay, but my card was charged anyway, inform of it",PAYMENT,payment_issue
BILQC,"i want to report a payment problem, what should i do?",PAYMENT,payment_issue
BLC,"i have an issue when trying to pay for my online order, report it",PAYMENT,payment_issue
BSLQC,"ive got no online account, i need help opening one",ACCOUNT,create_account
BIL,can you tell me if I can create several online accounts with a single email address?,ACCOUNT,create_account
BL,how to see the status of my purchase,ORDER,track_order
BILC,"an error message pops when I attempt to make a payment with card, can you help me?",PAYMENT,payment_issue
BILC,"you aren't helping, what can I do to contact someone?",CONTACT,contact_human_agent
BLQC,i bought a product and I want to change my purchase,ORDER,change_order
BIL,can I register two online accounts with a single email?,ACCOUNT,create_account
BIML,can you tell me if I can track my shipments?,ORDER,track_order
BILC,"I don't understand you, what can I do to contact a person?",CONTACT,contact_human_agent
BLQC,someone stole my account password and I want to recover it,ACCOUNT,recover_password
BL,I want to know how to download a bill,INVOICES,get_invoice
BILCZ,"I want to inform of a probelm making a payment, can you help me?",PAYMENT,payment_issue
BD,ask an agent where i can track my order,ORDER,track_order
BIC,"I haven't got an account, what should I do to create one?",ACCOUNT,create_account
BIC,"I want to cancel an order, what do I have to do?",ORDER,cancel_order
BILC,"an error pops when I attempt to make a payment for my online order, what should I do?",PAYMENT,payment_issue
BIL,how do I file a consumer complaint for a service?,FEEDBACK,complaint
BLZ,"I want to obtain an invoice, can you show me some infrmation?",INVOICES,get_invoice
BIL,how can I modify my purchase?,ORDER,change_order
BL,tell me what the phone number to contact Client Service is,CONTACT,contact_customer_service
BIPLD,"please, could you ask an agent where I can file a consumer complaint?",FEEDBACK,complaint
BIL,can I view your reimbursement policy?,REFUNDS,check_refund_policy
BIL,can you find information about the mail address of the Customer Service?,CONTACT,contact_customer_service
BLC,"you aren't helping, help me speak with a person",CONTACT,contact_human_agent
BLQZ,I get an error message hen I try to make a payment for my online order,PAYMENT,payment_issue
BSLQCZ,"i dont want my profile , i need help closing it",ACCOUNT,delete_account
BL,tell me if I can pay with credit card,PAYMENT,check_payment_methods
BID,can you ask an agent if i can track my order?,ORDER,track_order
BSLQC,"I need information, I need help speaking with Client Service",CONTACT,contact_customer_service
BILQC,"you arent helping, what should i do to speak with a person?",CONTACT,contact_human_agent
BIC,"I don't want my account, how can I delete it?",ACCOUNT,delete_account
BLQC,"im not happy with the service, help me submit a consumer complaint",FEEDBACK,complaint
BILC,"you're not helping, can you speak with someone?",CONTACT,contact_human_agent
BILQ,can I view your money back guarantee?,REFUNDS,check_refund_policy
BLC,I have a problem when trying to pay and I want to report it,PAYMENT,payment_issue
BIL,how can I write a review for a service?,FEEDBACK,review
BLW,I don't have a fucking user account,ACCOUNT,create_account
BLQ,I want to know if I can create several accounts with the same email,ACCOUNT,create_account
BILQC,"i cant understand you, can u contact a person?",CONTACT,contact_human_agent
BLQC,"I got an error when I attempted to make a payment, but I was charged anyway, help me notify it",PAYMENT,payment_issue
BLQ,i wanna know if i can register several profiles with a single email address,ACCOUNT,create_account
BIL,can I cancel my online account?,ACCOUNT,delete_account
BSLQ,i need help writing a comment,FEEDBACK,review
BIMLCZ,"I want to view cancerllation fees, what should I do?",CANCELLATION_FEE,check_cancellation_fee
BILQ,can i register several profiles with a single email address?,ACCOUNT,create_account
BILC,"I have a problem making a payment with card, what can I do to report it?",PAYMENT,payment_issue
BML,how to get some bills,INVOICES,get_invoice
BMSL,I want information about obtaining some bills,INVOICES,get_invoice
BIPLQDWZ,"please, could u ask an agent to open a  fucking account?",ACCOUNT,create_account
BILQC,"i got an error message when i attempted to make a payment, but my card was charged anyway, how do i report it?",PAYMENT,payment_issue
BILQC,"I got an error when I tried to pay, but I was charged anyway, how can I inform of it?",PAYMENT,payment_issue
BLD,ask an agent how i can solve a payment problem,PAYMENT,payment_issue
BLQCZ,"i want to know the statua of my reimbursement, track ot",REFUNDS,track_refund
BIMLQ,how can I check the cancellation penalties?,CANCELLATION_FEE,check_cancellation_fee
BILC,"I don't understand you, how do I talk to someone?",CONTACT,contact_human_agent
BIPLQDZ,could u ask an agent how to retrieve my password ?,ACCOUNT,recover_password
BILC,"I don't understand you, how do I talk to a human agent?",CONTACT,contact_human_agent
BILEC,"my account has been hacked, how do i recover it?",ACCOUNT,recover_password
BIC,"I got an error when I tried to pay, but I was charged anyway, what can I do to report it?",PAYMENT,payment_issue
BSLQC,"I changed my mind, I need help deleting my online account",ACCOUNT,delete_account
BLQC,"I have an issue making a payment, I need help reporting it",PAYMENT,payment_issue
BLQC,"i have a problem making a payment with card, help me inform of it",PAYMENT,payment_issue
BIQCZ,"I bought an item, what can I do to change my orderr?",ORDER,change_order
BL,help me delete my user account,ACCOUNT,delete_account
BMSL,I need help checking my shipments,ORDER,track_order
BLQZ,i want to solve an issue makinng a payment,PAYMENT,payment_issue
BISLQC,"I lost my bills, what do I have to do to view them?",INVOICES,check_invoices
BILC,"I've got no profile, how can I create one?",ACCOUNT,create_account
BL,tell me if there is a free number to contact Customer Service,CONTACT,contact_customer_service
BLQ,"I wanna see a bill, tell me how to do it",INVOICES,get_invoice
BMLQ,"i wanna see some bills, tell me how I can do it",INVOICES,get_invoice
BLQCZ,i made a mistake nad i wanna change my purchase,ORDER,change_order
BSLCZ,"i purchased something, I need help changing my ordere",ORDER,change_order
BILCZ,"I have a issue paying with card, how can I inform of it?",PAYMENT,payment_issue
BILC,"I got an error when I attempted to make a payment, but my card was charged anyway, what do I have to do to inform of it?",PAYMENT,payment_issue
BL,tell me how to get a bill,INVOICES,get_invoice
BILQC,"I got an error message when I attempted to make a payment, but my card was charged anyway, what do I have to do to report it?",PAYMENT,payment_issue
BLC,"I can't understand you, contact someone",CONTACT,contact_human_agent
BLQC,"I have an issue when trying to make a payment, I need help reporting it",PAYMENT,payment_issue
BSLQ,I need help deleting my online account,ACCOUNT,delete_account
BILQ,how can I report a problem making a payment?,PAYMENT,payment_issue
BILC,"I'm not happy with the service, what should I do to file a consumer complaint?",FEEDBACK,complaint
BSLQZ,I need help obtaining  an invoice,INVOICES,get_invoice
BILC,"I don't understand you, how can I talk to a person?",CONTACT,contact_human_agent
BIQ,how do I leave a review?,FEEDBACK,review
BILQC,"the show was cancelled, how do I get a reimbursement?",REFUNDS,get_refund
BSL,I need help removing my user account,ACCOUNT,delete_account
BILC,"I have a problem when trying to pay, what should I do?",PAYMENT,payment_issue
BIPQ,"can you tell me if i could change my order, please?",ORDER,change_order
BIPLD,"please, can you ask an agent to find information about their reimbursement policy?",REFUNDS,check_refund_policy
BILCZ,"i boughtsomething, can I change my order?",ORDER,change_order
BILCZ,"you aren't helping , can I talk to a person?",CONTACT,contact_human_agent
BLC,"i have a problem when trying to make a payment with card, help me notify it",PAYMENT,payment_issue
BPMQD,"ask an agent how I could solve payment issues, please",PAYMENT,payment_issue
BLC,"I have a problem when trying to pay, notify it",PAYMENT,payment_issue
BILQC,"i purchased something, what should i do to modify my purchase?",ORDER,change_order
BLC,the event was postponed and I want to request a reimbursement,REFUNDS,get_refund
BIMLQDWZ,can u sak an agent where i can notify fucking issues making a payment?,PAYMENT,payment_issue
BSLQC,"i wanna use my other profile, i need help changing them",ACCOUNT,switch_account
BLD,ask an agent if i can switch to another profile,ACCOUNT,switch_account
BIPLQC,"i got an error when i attempted to pay, but i was charged anyway, could u inform of it, please?",PAYMENT,payment_issue
BILC,"i have a question, what can i do to call client service?",CONTACT,contact_customer_service
BIL,how do I obtain a bill?,INVOICES,get_invoice
BIL,can you tell me the number to contact Client Service?,CONTACT,contact_customer_service
BIL,how can I see the cancellation fee?,CANCELLATION_FEE,check_cancellation_fee
BILC,"I don't want my profile, how can I cancel it?",ACCOUNT,delete_account
BLC,"i lost my account password, help me reset it",ACCOUNT,recover_password
BIL,where do I check my bills?,INVOICES,check_invoices
BILC,"I want a user account, can you create one?",ACCOUNT,create_account
BLQ,"I wanna request an invoice, can you give me some information?",INVOICES,get_invoice
BPSLQCZ,"i lost my  invoices and i wanna see them, please",INVOICES,check_invoices
BLC,"you're not helping, talk to someone",CONTACT,contact_human_agent
BLC,"I don't want my online account, help me remove it",ACCOUNT,delete_account
BILC,"i lost my account password, can i recover it?",ACCOUNT,recover_password
BILQC,"my online account was hacked, what do I have to do?",ACCOUNT,recover_password
BIMQ,can I check the cancellation fees?,CANCELLATION_FEE,check_cancellation_fee
BILC,"I have no profile, can you help me?",ACCOUNT,create_account
BIPMLQD,could u ask an agent where i can report issues making a payment?,PAYMENT,payment_issue
BIPLQD,"please, can u ask an agent if i can write an opinion?",FEEDBACK,review
BIPLDZ,could you ask an agent for information abuot their money back guarantee?,REFUNDS,check_refund_policy
BILQC,"I get an error message when I try to pay with card, what do I have to do?",PAYMENT,payment_issue
BLQC,"I changed my mind, close my profile",ACCOUNT,delete_account
BLQC,"I need a profile, help me create one",ACCOUNT,create_account
BILCZ,"I have an issue paying, what can I do to notgify it?",PAYMENT,payment_issue
BLQCZ,"I got an error when I atetmpted to make a payment, but my card was chargedanyway and I want to report it",PAYMENT,payment_issue
BL,how to remove my online account,ACCOUNT,delete_account
BLQD,ask an agent how to inform of an issue making a payment,PAYMENT,payment_issue
BPMLQ,"I want to know where I can check my shipments, please",ORDER,track_order
BLQC,"I got an error when I tried to make a payment, but my card was charged anyway, I need help reporting it",PAYMENT,payment_issue
BILC,"I got an error message when I attempted to make a payment, but my card was charged anyway, what can I do to report it?",PAYMENT,payment_issue
BIML,can I have several online accounts?,ACCOUNT,create_account
BILQC,"i want to report an issue making a payment, what should i do?",PAYMENT,payment_issue
BILQC,"the game was postponed, what do I have to do to request a refund?",REFUNDS,get_refund
B,tell me if I can own more than one account,ACCOUNT,create_account
BIL,where can I open an online account?,ACCOUNT,create_account
BIML,where do I check my orders?,ORDER,track_order
BPLZ,i'd like to make a modificatin in my purchase,ORDER,change_order
BPMLQDW,ask an agent if i could track my fucking packages,ORDER,track_order
BLQDZ,ask an agent if i can notify a problem majing a payment,PAYMENT,payment_issue
BILQC,"I have a problem paying with card, can I inform of it?",PAYMENT,payment_issue
BILC,"I don't understand you, what should I do to talk to a person?",CONTACT,contact_human_agent
BILC,"my online account was hacked, what should I do to recover it?",ACCOUNT,recover_password
BIQD,can u ask an agent if my order is out for delivery?,ORDER,track_order
BILQ,where do I open an online account?,ACCOUNT,create_account
BIL,can you send an email to Client Service?,CONTACT,contact_customer_service
BM,I want to know if my orders are out for delivery,ORDER,track_order
BIL,where do i obtain a refund?,REFUNDS,get_refund
BILQC,"I want to modify my purchase, can you tell me where to do it?",ORDER,change_order
BLC,"i have a problem when trying to pay, inform of it",PAYMENT,payment_issue
BILQC,"the concert was postponed, can I get a refund?",REFUNDS,get_refund
BIMLW,"i want to see some fucking bills, can you tell me how I can do it?",INVOICES,get_invoice
BQ,I want to report a payment issue,PAYMENT,payment_issue
BILQC,"i wanna know the status of my reimbursement, what can i do?",REFUNDS,track_refund
BIMLQD,can u ask an agent how to report problems paying?,PAYMENT,payment_issue
BL,tell me if I can check my shipment,ORDER,track_order
BIC,"I got an error when I tried to pay, but I was charged anyway, can you report it?",PAYMENT,payment_issue
BM,tell me how I can track my orders,ORDER,track_order
BILQ,how do I obtain a reimbursement?,REFUNDS,get_refund
BQC,i cant remember my password and i wanna recover it,ACCOUNT,recover_password
BMSLC,i can't find my bill and i want to see it,INVOICES,check_invoices
BC,"someone stole my password, recover it",ACCOUNT,recover_password
BSLQ,I need help switching to another account,ACCOUNT,switch_account
BISLC,"I can't find my bills, can you show them?",INVOICES,check_invoices
BLQCZ,"I have an issue when trying yo pay, help me inform of it",PAYMENT,payment_issue
BILC,"I've got no account, how do I open one?",ACCOUNT,create_account
